,username,retweet_or_quote_screen_name,type
151,tamu_sga,24,I
93,AggieWTEN,44,I
139,TAMUgardens,27,I
97,TAMUResLife,43,I
191,Aggie_Allies,16,I
186,aggietopcop,17,I
185,tamu_bsac,17,I
57,SuccessTAMU,73,I
35,tamulibraries,108,I
178,aggiewomensgolf,18,I
177,TAMULawSchool,18,I
176,GJGarciaTAMU,19,I
36,TAMUEngineering,108,I
37,AggieSoftball,106,I
174,TAMU_OCSS,19,I
171,TAMU_PKP,20,I
167,TAMUGreenDot,20,I
141,TAMUQ,26,I
20,AggieVolleyball,160,I
149,TAMUNAACP,24,I
306,tamu_ocean,10,I
356,TAMUischool,8,I
357,MSC_AggieCinema,8,I
348,TAMUtemag,8,I
12,AggieBaseball,231,I
8,TAMU_UGR,276,I
34,tamusystem,109,I
88,TAMUdental,50,I
358,TAMU_2022,8,I
87,TAMU_Biology,50,I
86,AggieVP,50,I
6,tamulgbtq,299,I
85,TAMU_SPH,52,I
105,tamusfaid,39,I
84,TAMUAdvocacy,55,I
3153,aggieprez,1,I
308,tamusuperfund,9,I
91,AggieEquestrian,46,I
107,TAMUPolice,38,I
16,TAMUDSA,174,I
5,NSFPtamu,306,I
315,TheBigEventTAMU,9,I
318,tamugeography,9,I
90,Clear_TAMU,46,I
11,TAMU_HP,242,I
335,AggieAthletes,8,I
83,TAMULawCSO,55,I
13,TAMU_SHS,228,I
89,aggieparking,47,I
92,tamuvetmed,44,I
103,hireaggies,40,I
350,TAMUCCCOE,8,I
15,AggieSoccer,180,I
101,TAMUOSS,41,I
327,TAMU_ASSP,9,I
351,tamu_innovation,8,I
323,tamuetid,9,I
320,aggiephotogs,9,I
102,tamuundergrads,40,I
14,aggiembk,213,I
117,tamu_sbp,34,I
9,Aggie_GR,274,I
360,Sex_ProjectTAMU,7,I
99,tamuc,42,I
3182,TAMU_Phiotas,1,I
291,TAMUDance,10,I
286,TAMU_OGAPS,10,I
284,vizlabTAMU,10,I
1217,ElrcTamu,2,I
281,aggiebigkickit,10,I
68,TAMUSanAntonio,67,I
280,GPSGTAMU,10,I
4,AggieWBB,307,I
78,TAMUCommandant,58,I
1,AggieFootball,592,I
94,TAMU_Law_Review,44,I
272,TAMULawAdm,11,I
369,TAMUAnnenberg,7,I
364,TAMUGENE,7,I
295,TAMU_SPMT,10,I
69,aggiespiritbus,66,I
3,AggieNetwork,377,I
82,TAMUVET1,55,I
293,TAMUINTS,10,I
2,TAMUHealth,429,I
72,TAMUCodeMaroon,64,I
113,AggieWomen,34,I
278,TAMU_IT,11,I
80,AggieDiversity,57,I
81,AggiesByTheSea,56,I
3183,Aggie_PhiPsi,1,I
303,NAISO_TAMU,10,I
108,AggieNetworkAmb,38,I
116,TAMUbrand,34,I
708,TXHealthInst,3,OI
512,usnews,4,OI
590,BrazosTxCEOC,4,OI
593,txmusicoffice,4,OI
545,TXTeachersCan,4,OI
617,HealthTechATX,4,OI
642,CoSIDAnews,3,OI
536,txresearch,4,OI
643,TXSportsHOF,3,OI
676,txamiucoed,3,OI
696,NBCNews,3,OI
556,dallasnews,4,OI
920,IIADnews,2,OI
776,lmtnews,3,OI
792,txcomptroller,3,OI
803,QueenBryanTX,3,OI
808,FreeBlackTX,3,OI
810,AleksBushNews,3,OI
837,TXMasonry,2,OI
883,amyeetx,2,OI
925,KBTXWeather,2,OI
943,txcattlefeeders,2,OI
985,SpecNewsATX,2,OI
1043,TXFilmWorks,2,OI
502,TXMedCenter,4,OI
1030,ExpressNews,2,OI
718,TPWDnews,3,OI
417,TXArchitects,6,OI
2180,ACLU,1,OI
310,KBTXRusty,9,OI
2080,PFF,1,OI
1141,KBTXConner,2,OI
2084,PHITHETAKAPPA,1,OI
2087,USTFCCCA,1,OI
2140,FBCSO,1,OI
2145,AVMACAN,1,OI
2161,TXGEN,1,OI
2163,ChagasTexas,1,OI
