,username,in_reply_to_screen_name,type
2020,etylerb11,1,P
2018,KingMarteen69,1,P
110,AngelinaDawn049,5,P
2014,Lauren_Obe,1,P
2012,Sir_RossTarhini,1,P
2011,yazminosoria_,1,P
2008,yourstruly_yuli,1,P
2007,Hannah0926Paige,1,P
2006,igon57,1,P
2004,its_amayzing,1,P
2003,larson_annika,1,P
2002,Ugly__antho,1,P
2000,leyo_em,1,P
1860,angelaburr88,1,P
1999,Gabriel_Matos22,1,P
1996,TheRealDM01,1,P
1957,_QueenAileen,1,P
2031,MEM_marsh,1,P
1956,c0narissocial,1,P
1950,dianamedi08,1,P
1905,derekgreen94,1,P
1903,MikeEvans13_,1,P
1899,Br_15900773230,1,P
1871,saaammy_rdz,1,P
1896,mayaizellah_,1,P
1894,noah_madrigal,1,P
1872,Mandii__r,1,P
1893,spanisheyes519,1,P
1909,Cthulhu_Sec,1,P
1891,avid_khs,1,P
1889,addie82730304,1,P
1874,_MiguelSoto_,1,P
1888,wut_the_mel,1,P
1876,brownkarebear28,1,P
1886,annaalvarezz_,1,P
1884,Ameliaaaaaa11,1,P
1881,reanna_santos,1,P
1880,bonitafab_,1,P
1890,m_guevaraa,1,P
1910,accelerate2021,1,P
1870,maddogr99,1,P
111,KodyWest_,5,P
1946,kvillegas74,1,P
1944,DavidG57441,1,P
1942,twcago2college,1,P
1936,Trevino810Jon,1,P
1935,patrickrcarp11,1,P
1864,SharonP61295586,1,P
1932,Yazmeen___,1,P
1865,hharpold2,1,P
1931,_dbhoy,1,P
1920,rolerdo99,1,P
1866,DustinGoodman10,1,P
1868,hovey42,1,P
1919,edithfer20,1,P
1918,SGirvin_DSSE,1,P
1917,AlexMill20,1,P
1916,gmonique_,1,P
1869,TXAGZ16,1,P
1915,cristinac1218,1,P
1914,va_spurs_va,1,P
1954,hkmass4902,1,P
2034,EvanRandazzo_,1,P
2035,elis_lef2001,1,P
2038,tob1kage,1,P
2211,jaclyn_wise_r,1,P
2594,LanaN_Miller,1,P
2201,oraliamaria_,1,P
2195,5thCircAppeals,1,P
2193,pms777law,1,P
2192,DREW3301,1,P
2190,brent_dore,1,P
2186,UTA_PRELAW,1,P
2212,CTL_tx,1,P
2183,SAL_FW,1,P
2180,mikeyheath12,1,P
2177,Tina_BWeaver,1,P
1854,allisonvk_5,1,P
2172,legal_lauren,1,P
2171,TyraWri65111330,1,P
2169,JPMendez76,1,P
2168,vstrickland20,1,P
101,KLWall88,5,P
1850,TVDaddiction99,1,P
2216,MichaelZGreen1,1,P
2218,had515,1,P
